Unnamed: 0,node_size,ordering_heuristic,evidence_size,evidence_type,iterations,time_taken
2250,25,min_degree,1,Lowest Evidence,0,4.9196693897247314
2251,25,min_degree,1,Lowest Evidence,1,4.850915908813477
2252,25,min_degree,1,Lowest Evidence,2,4.818527936935425
2253,25,min_degree,1,Lowest Evidence,3,5.255927324295044
2254,25,min_degree,1,Lowest Evidence,4,11.19073247909546
2255,25,min_degree,1,Lowest Evidence,5,4.956131219863892
2256,25,min_degree,1,Lowest Evidence,6,5.018429756164551
2257,25,min_degree,1,Lowest Evidence,7,4.889072895050049
2258,25,min_degree,1,Lowest Evidence,8,5.779479265213013
2259,25,min_degree,1,Lowest Evidence,9,5.00753927230835
2300,25,min_fill,1,Lowest Evidence,0,3.245347261428833
2301,25,min_fill,1,Lowest Evidence,1,3.5936837196350098
2302,25,min_fill,1,Lowest Evidence,2,3.2671375274658203
2303,25,min_fill,1,Lowest Evidence,3,3.2067089080810547
2304,25,min_fill,1,Lowest Evidence,4,3.213115930557251
2305,25,min_fill,1,Lowest Evidence,5,3.2287635803222656
2306,25,min_fill,1,Lowest Evidence,6,3.22314190864563
2307,25,min_fill,1,Lowest Evidence,7,3.3060131072998047
2308,25,min_fill,1,Lowest Evidence,8,3.347664594650269
2309,25,min_fill,1,Lowest Evidence,9,3.2371954917907715
2350,25,random,1,Lowest Evidence,0,2.4162604808807373
2351,25,random,1,Lowest Evidence,1,2.30289077758789
2352,25,random,1,Lowest Evidence,2,2.616883993148804
2353,25,random,1,Lowest Evidence,3,5.071559190750122
2354,25,random,1,Lowest Evidence,4,2.9635977745056152
2355,25,random,1,Lowest Evidence,5,8.363555669784546
2356,25,random,1,Lowest Evidence,6,3.720322370529175
2357,25,random,1,Lowest Evidence,7,6.918915271759033
2358,25,random,1,Lowest Evidence,8,4.358238220214844
2359,25,random,1,Lowest Evidence,9,2.5609354972839355
